################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   1.4134055101481386E+00   2.9806164345155546E+00   2.2500206416393764E+00   1.9977390873412323E-01
         1          2   8.6048767461645681E-01   1.6694902402577514E+00   1.3186558548994596E+00   9.9761141980333756E-02
         1          3   9.5804919252871423E-01   2.2509894571114737E+00   1.6321252994701390E+00   1.6031458657634046E-01
         1          4   6.4029069660148941E-01   1.2882925292525269E+00   1.0098444508194095E+00   7.9773096134395524E-02
         1          5   4.8407230021993242E-01   1.3366426935538103E+00   8.9934100557178931E-01   1.0420546269106479E-01
         1          6   4.1472081447409159E-01   8.3855794410103679E-01   6.4518110950663576E-01   5.2235462142560876E-02
         1          7   2.3349080247474688E-01   7.4071575003773960E-01   4.5165725716046473E-01   6.0465246308136468E-02
         1          8   2.9967224119839186E-01   5.4236952057531196E-01   4.2249123062281091E-01   3.3598150153385485E-02
         1          9   2.8383311999775135E-01   4.7353084954117325E-01   3.6317664194302229E-01   2.9906365887744948E-02
         1         10   2.6988759371073606E-01   9.3637520838818677E-01   5.3014307767298541E-01   8.0766107893625233E-02
         1         11   2.2639691967218378E-01   3.5537310295894509E-01   2.7428511648039067E-01   1.6533243750841246E-02
         1         12   1.6486944276829527E-01   5.4746773040049801E-01   2.9455768564835477E-01   4.6407167831132586E-02
         1         13   1.4793134869894475E-01   2.4392618549202327E-01   1.9663783886819189E-01   1.1511305819684119E-02
         1         14   7.8180188951731455E-02   3.2722946707579997E-01   1.5891647887150795E-01   2.5563701160080842E-02
         1         15   4.5513389921379030E-02   1.3327756470433041E-01   8.8118055908105092E-02   1.2388652114536278E-02
         1         16   1.0722780630992619E-02   1.7186335028593691E-01   5.6810465171709033E-02   1.9697919246169777E-02
         1         17   4.8590400362136314E-04   3.4640907311557091E-02   1.7145542440067749E-02   5.3151349714500116E-03
         1         18   7.8760280615457184E-03   3.6524218898297628E-02   2.0610959323924736E-02   3.9224203507000777E-03
         1         19   6.1626036199576495E-04   3.7479192108983123E-02   1.6302032739319006E-02   5.2590868226186794E-03
         1         20   6.6564346569814262E-02   2.1411532396555985E-01   1.3786447813617866E-01   1.9412597138700253E-02
         1         21   4.8778654960609652E-03   4.4668652633745129E-02   1.6841643103074958E-02   4.4505845398519813E-03
         1         22   4.4600865550340570E-04   1.5553697239766281E-02   5.8461223975424612E-03   2.1863201398885628E-03
         1         23   4.0422014541201291E-02   1.3355209776872562E-01   7.7871814066474157E-02   1.1570895410017209E-02
         1         24   7.1996851259886632E-04   9.3891510843163439E-03   3.7835427845695786E-03   1.0948708288590688E-03
         1         25   1.2415118853846489E-03   8.6656817607881943E-03   3.5439659806185079E-03   8.2153237514741978E-04
         1         26   1.5707740251708378E-02   4.0676945118518548E-02   2.4610116806909478E-02   3.0383177145581522E-03
         1         27   1.2372850972862369E-03   4.6767276058124569E-03   2.4516948483164023E-03   4.1264413917228512E-04
         2          1   1.8276398095508888E+00   3.3360180959417245E+00   2.6373117097989196E+00   1.9597015880775262E-01
         2          2   5.7357022355674014E-01   1.2809755533639127E+00   9.5671150789881088E-01   9.6832636757135063E-02
         2          3   1.3875244838138547E+00   2.5803285491416807E+00   2.0196889016388200E+00   1.5456760523400725E-01
         2          4   3.6046666487043677E-01   8.9969690690716508E-01   6.5169230456109595E-01   7.4719278542004774E-02
         2          5   9.2769765659374448E-01   1.6722767554183486E+00   1.2903622190132715E+00   9.7264450877339592E-02
         2          6   1.4174922093614301E-01   4.5992483506361020E-01   3.0088914736616984E-01   4.3242324819663121E-02
         2          7   6.3846458169807163E-01   1.0964802086476775E+00   8.4498246124562226E-01   5.7267597360006202E-02
         2          8   3.6956575571523750E-02   1.8840097179112672E-01   1.0748342142525241E-01   2.0400369692288131E-02
         2          9   5.8191659374837468E-01   9.2424599173855448E-01   7.2635328388604503E-01   4.4274703902641460E-02
         2         10   1.7493688498666274E-01   7.7908275247704573E-01   4.6430358697348495E-01   7.9372892787316907E-02
         2         11   4.7021443456128753E-01   6.7306494416958451E-01   5.4857023296078133E-01   2.4226526928135553E-02
         2         12   6.7107139471032085E-02   5.9465043519001914E-01   3.0414303434014400E-01   7.0290852933744541E-02
         2         13   3.2386723424091657E-01   4.6330906403082150E-01   3.9327567773638389E-01   1.7471084271753770E-02
         2         14   1.4117432023648254E-02   4.2814316166688510E-01   1.6427998027862190E-01   5.7548878576897243E-02
         2         15   1.1396517951925457E-01   2.4430737534511918E-01   1.7623611181621018E-01   1.7592644731861680E-02
         2         16   1.1958125567521711E-04   2.5526888619353133E-01   4.2543944225282251E-02   2.8884755975698517E-02
         2         17   4.1178346341924086E-03   3.0737523284864472E-02   1.4935538509382297E-02   3.5907013547209973E-03
         2         18   5.4878041278851389E-05   2.2006141191606250E-03   6.1993456617504472E-04   2.6672072998005798E-04
         2         19   8.1108748892251628E-02   3.0166407544308499E-01   1.8863354040652722E-01   3.1028324584590799E-02
         2         20   2.7887712150122795E-03   2.0491401574737358E-02   9.8024633744649078E-03   2.4994749317864529E-03
         2         21   1.2068209896934145E-02   5.1585660307954528E-02   2.9373650162754516E-02   5.4342704856995905E-03
         2         22   2.2191116300612403E-02   1.2945807313385024E-01   6.8434628355322255E-02   1.3611972388789440E-02
         2         23   2.5546389933230336E-02   8.5322772130782806E-02   4.8030419954636923E-02   7.4346573571817971E-03
         2         24   1.1836714559347067E-03   1.5573503608162353E-02   5.9725730795714407E-03   1.8146016200309542E-03
         2         25   1.2823939328662957E-05   8.7059496080363439E-04   2.1589701223000523E-04   1.0463561239245600E-04
         2         26   1.9250107955526376E-02   9.1107903513494473E-02   4.6683037214912210E-02   8.9212148536019029E-03
         2         27   7.8404226779048881E-03   7.0154926681706808E-02   3.2546087648876711E-02   7.9327097157302472E-03
         2         28   6.1254661958873343E-05   2.0904453679487377E-03   6.1544537549930510E-04   2.7244877470852661E-04
         2         29   1.0620004989633558E-02   2.8958083902920158E-02   1.6803080806155009E-02   2.1491284479562204E-03
         2         30   5.2323531406344680E-03   2.2411480525788424E-02   1.1351001981372968E-02   2.0160916494652843E-03
