################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.3582463773188411E-01 a         1     0     1     1     1
  2.0411882888596411E-01 a         2     0     1     1     2
  2.0017622857981016E-01 a         3     0     1     1     3
  1.0900749791970894E-01 a         4     0     1     1     4
 -2.5386416478336055E-01 a         5     0     1     1     5
 -3.6838086412009349E-02 a         6     0     1     1     6
  5.0623459320434050E-02 a         7     0     1     1     7
  1.5677804713034732E-01 a         8     0     1     1     8
 -1.7874577224532778E-01 a         9     0     1     1     9
  2.0114620938785110E-01 a        10     0     1     1    10
 -1.5762027837681053E-01 a        11     0     1     1    11
  1.9995184398141796E-01 a        12     0     1     1    12
  4.0017966011238068E-02 a        13     0     1     1    13
 -4.0602542355121035E-01 a        14     0     1     1    14
  2.6433046416409950E-01 a        15     0     1     1    15
 -3.1775713562769292E-01 a        16     0     1     1    16
 -3.7931674682556654E-01 a        17     0     1     1    17
  1.2850657676500613E-01 a        18     0     1     1    18
  1.5122161791084545E-02 a        19     0     1     1    19
 -3.9357191118572527E-01 a        20     0     1     1    20
 -3.3950379671075268E-02 a        21     0     2     1     1
 -1.3166005392706612E-02 a        22     0     2     1     2
  7.0899074175406709E-02 a        23     0     2     1     3
 -3.5012778716694469E-02 a        24     0     2     1     4
  4.2591559167275563E-02 a        25     0     2     1     5
 -1.1118621562051111E-01 a        26     0     2     1     6
  3.1970672173603158E-02 a        27     0     2     1     7
 -4.4797402525394631E-01 a        28     0     2     1     8
 -3.1083939099265739E-01 a        29     0     2     1     9
 -5.3948033248192129E-01 a        30     0     2     1    10
  3.4959807553257359E-02 a        31     0     2     1    11
 -1.9022229146897524E-01 a        32     0     2     1    12
 -2.1469838208366204E-01 a        33     0     2     1    13
  2.6105281062235070E-01 a        34     0     2     1    14
 -7.5717652056255663E-02 a        35     0     2     1    15
  3.5555845445115732E-02 a        36     0     2     1    16
  6.1509753957095105E-02 a        37     0     2     1    17
 -3.5713357580930513E-02 a        38     0     2     1    18
  3.5931698209454216E-02 a        39     0     2     1    19
  1.6799833329270104E-02 a        40     0     2     1    20
 -1.7250880988938502E-01 a        41     0     3     1     1
  5.6534015063320731E-02 a        42     0     3     1     2
 -2.2047171024036236E-01 a        43     0     3     1     3
  3.6377079342266666E-02 a        44     0     3     1     4
  1.4334120898439573E-01 a        45     0     3     1     5
 -1.6529163602618645E-02 a        46     0     3     1     6
 -2.2687704752024201E-01 a        47     0     3     1     7
  1.5762657315649198E-01 a        48     0     3     1     8
  4.3205281178248128E-01 a        49     0     3     1     9
  6.1011546704454404E-02 a        50     0     3     1    10
 -1.0069424973218302E-01 a        51     0     3     1    11
  2.6609083477794065E-01 a        52     0     3     1    12
  1.0785470351595670E-01 a        53     0     3     1    13
  2.4754072711821095E-03 a        54     0     3     1    14
 -3.6375996151498641E-01 a        55     0     3     1    15
  3.4617184305851845E-01 a        56     0     3     1    16
  4.1786929721261523E-01 a        57     0     3     1    17
 -3.7822815710557850E-01 a        58     0     3     1    18
  1.7774084545512320E-01 a        59     0     3     1    19
  2.0730250445805498E-01 a        60     0     3     1    20
  1.0883969642116934E-01 a        61     0     4     1     1
  2.8097243547134745E-04 a        62     0     4     1     2
  1.7199517170992823E-01 a        63     0     4     1     3
  5.0416499087083774E-02 a        64     0     4     1     4
 -5.9414024402555082E-02 a        65     0     4     1     5
 -6.7425718087398195E-02 a        66     0     4     1     6
  1.8976917033402946E-03 a        67     0     4     1     7
 -7.3934738997850371E-04 a        68     0     4     1     8
 -2.8196272262747729E-01 a        69     0     4     1     9
  4.4893502411607628E-01 a        70     0     4     1    10
  2.8474525480784335E-01 a        71     0     4     1    11
 -3.6784558207182828E-02 a        72     0     4     1    12
 -1.9332804134784123E-01 a        73     0     4     1    13
  3.1629127967665077E-01 a        74     0     4     1    14
  1.0003705986571207E-01 a        75     0     4     1    15
  2.0002951985495465E-01 a        76     0     4     1    16
 -5.1850955967621859E-01 a        77     0     4     1    17
  3.4466763107928888E-01 a        78     0     4     1    18
